Iteration,ACO_N20,GA_N20,A*_N20,ACO_N50,GA_N50,A*_N50
424,737.5,738.0,738,1713.75,1834.65,1922
425,737.5,738.0,738,1713.75,1834.65,1922
426,737.5,738.0,738,1713.75,1834.65,1922
427,737.5,738.0,738,1713.75,1834.65,1922
428,737.5,738.0,738,1713.75,1834.65,1922
429,737.5,738.0,738,1713.75,1834.65,1922
430,737.5,738.0,738,1713.75,1834.65,1922
431,737.5,738.0,738,1713.75,1834.65,1922
432,737.5,738.0,738,1713.75,1834.65,1922
433,737.5,738.0,738,1713.75,1834.65,1922
434,737.5,738.0,738,1713.75,1834.65,1922
435,737.5,738.0,738,1713.75,1834.65,1922
436,737.5,738.0,738,1713.75,1834.65,1922
437,737.5,738.0,738,1713.75,1834.65,1922
438,737.5,738.0,738,1713.75,1834.65,1922
439,737.5,738.0,738,1713.75,1834.65,1922
440,737.5,738.0,738,1713.75,1834.65,1922
441,737.5,738.0,738,1713.75,1834.65,1922
442,737.5,738.0,738,1713.75,1834.65,1922
443,737.5,738.0,738,1713.75,1834.65,1922
444,737.5,738.0,738,1713.75,1834.65,1922
445,737.5,738.0,738,1713.75,1834.65,1922
446,737.5,738.0,738,1713.75,1834.65,1922
447,737.5,738.0,738,1713.75,1834.65,1922
448,737.5,738.0,738,1713.75,1834.65,1922
449,737.5,738.0,738,1713.75,1834.65,1922
450,737.5,738.0,738,1713.75,1834.65,1922
451,737.5,738.0,738,1713.75,1834.65,1922
452,737.5,738.0,738,1713.75,1834.65,1922
453,737.5,738.0,738,1713.75,1834.65,1922
454,737.5,738.0,738,1713.75,1834.65,1922
455,737.5,738.0,738,1713.75,1834.65,1922
456,737.5,738.0,738,1713.75,1834.65,1922
457,737.5,738.0,738,1713.75,1834.65,1922
458,737.5,738.0,738,1713.75,1834.65,1922
459,737.5,738.0,738,1713.75,1834.65,1922
460,737.5,738.0,738,1713.75,1834.65,1922
461,737.5,738.0,738,1713.75,1834.65,1922
462,737.5,738.0,738,1713.75,1834.65,1922
463,737.5,738.0,738,1713.75,1834.65,1922
464,737.5,738.0,738,1713.75,1834.65,1922
465,737.5,738.0,738,1713.75,1834.65,1922
466,738.0,738.0,738,1713.75,1834.65,1922
467,738.0,738.0,738,1713.75,1834.65,1922
468,738.0,738.0,738,1713.75,1835.05,1922
469,738.0,738.0,738,1713.75,1835.1,1922
470,738.0,738.0,738,1713.75,1835.1,1922
471,738.0,738.0,738,1713.75,1835.1,1922
472,738.0,738.0,738,1713.85,1835.1,1922
473,738.0,738.0,738,1713.85,1835.1,1922
474,738.0,738.0,738,1713.85,1835.1,1922
475,738.0,738.0,738,1713.85,1835.1,1922
476,738.0,738.0,738,1713.85,1835.1,1922
477,738.0,738.0,738,1713.85,1835.1,1922
478,738.0,738.0,738,1713.85,1835.1,1922
479,738.0,738.0,738,1714.4,1835.45,1922
480,738.0,738.0,738,1714.4,1835.45,1922
481,738.0,738.0,738,1714.4,1835.45,1922
482,738.0,738.0,738,1714.4,1835.45,1922
483,738.0,738.0,738,1714.4,1835.45,1922
484,738.0,738.0,738,1714.4,1835.45,1922
485,738.0,738.0,738,1714.4,1835.45,1922
486,738.0,738.0,738,1714.4,1835.45,1922
487,738.0,738.0,738,1714.4,1835.45,1922
488,738.0,738.0,738,1714.4,1835.45,1922
489,738.0,738.0,738,1714.4,1835.45,1922
490,738.0,738.0,738,1715.3,1835.45,1922
491,738.0,738.0,738,1715.3,1835.45,1922
492,738.0,738.0,738,1715.3,1835.45,1922
493,738.0,738.0,738,1715.3,1835.45,1922
494,738.0,738.0,738,1715.3,1835.45,1922
495,738.0,738.0,738,1715.3,1835.45,1922
496,738.0,738.0,738,1715.3,1835.45,1922
497,738.0,738.0,738,1719.1,1835.45,1922
498,738.0,738.0,738,1719.1,1835.45,1922
499,738.0,738.0,738,1721.15,1835.45,1922
500,738.0,738.0,738,1721.15,1835.45,1922
501,738.0,738.0,738,1721.15,1835.45,1922
502,738.0,738.0,738,1721.35,1835.45,1922
503,738.0,738.0,738,1721.35,1835.45,1922
504,738.0,738.0,738,1721.35,1835.45,1922
505,738.0,738.0,738,1721.35,1835.45,1922
506,738.0,738.0,738,1721.35,1835.45,1922
507,738.0,738.0,738,1721.35,1835.45,1922
508,738.0,738.0,738,1721.35,1835.45,1922
509,738.0,738.0,738,1721.35,1835.45,1922
510,738.0,738.0,738,1721.35,1835.45,1922
511,738.0,738.0,738,1721.35,1835.45,1922
512,738.0,738.0,738,1721.35,1835.45,1922
513,738.0,738.0,738,1721.35,1835.45,1922
514,738.0,738.0,738,1721.35,1835.45,1922
515,738.0,738.0,738,1721.35,1835.45,1922
516,738.0,738.0,738,1721.35,1835.45,1922
517,738.0,738.0,738,1721.35,1835.45,1922
518,738.0,738.0,738,1721.35,1835.45,1922
519,738.0,738.0,738,1721.35,1835.45,1922
520,738.0,738.0,738,1721.35,1835.45,1922
521,738.0,738.0,738,1721.35,1835.45,1922
522,738.0,738.0,738,1721.35,1835.45,1922
523,738.0,738.0,738,1721.35,1835.45,1922
524,738.0,738.0,738,1721.35,1835.45,1922
525,738.0,738.0,738,1721.35,1835.45,1922
526,738.0,738.0,738,1721.35,1835.45,1922
527,738.0,738.0,738,1721.35,1835.45,1922
528,738.0,738.0,738,1721.35,1835.45,1922
529,738.0,738.0,738,1721.35,1835.45,1922
530,738.0,738.0,738,1721.35,1835.45,1922
531,738.0,738.0,738,1721.35,1835.55,1922
532,738.0,738.0,738,1721.35,1835.55,1922
533,738.0,738.0,738,1721.35,1836.1,1922
534,738.0,738.0,738,1721.35,1836.1,1922
535,738.0,738.0,738,1721.35,1836.1,1922
536,738.0,738.0,738,1721.35,1836.1,1922
537,738.0,738.0,738,1721.35,1836.1,1922
538,738.0,738.0,738,1721.35,1836.1,1922
539,738.0,738.0,738,1721.35,1836.1,1922
540,738.0,738.0,738,1721.35,1836.1,1922
541,738.0,738.0,738,1721.35,1838.2,1922
542,738.0,738.0,738,1721.35,1838.2,1922
543,738.0,738.0,738,1721.35,1838.2,1922
544,738.0,738.0,738,1721.35,1838.2,1922
545,738.0,738.0,738,1721.35,1838.2,1922
546,738.0,738.0,738,1721.35,1838.2,1922
547,738.0,738.0,738,1721.35,1838.2,1922
548,738.0,738.0,738,1721.35,1838.2,1922
549,738.0,738.0,738,1721.35,1838.2,1922
550,738.0,738.0,738,1721.35,1838.2,1922
